date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1996-05-31,1996.0,5.0,16.1,1996.3718566666664,365.2536666666667,137.1,364.9963333333333,361.781,0.0009999999999990906,0.55,0.1498257301636663
1996-06-30,1996.0,6.0,15.5,1996.4549166666666,365.05699999999996,167.5,365.2463333333333,361.92333333333335,-0.009333333333332423,-0.2,-0.05384385828662852
1996-07-31,1996.0,7.0,16.0,1996.5382516129032,363.6864516129032,198.0,364.4351612903226,362.10935483870963,-0.0677419354838717,-1.37,-0.3754340793620581
1996-08-31,1996.0,8.0,15.678571428571429,1996.6220714285716,361.5596428571429,228.67857142857142,362.53249999999997,362.2760714285714,-0.041785714285714856,-2.13,-0.5847918574717892
1996-09-30,1996.0,9.0,14.32,1996.7030599999998,359.7224,258.32,360.6648,362.38599999999997,-0.10319999999999936,-1.84,-0.5081437858010074
1996-10-31,1996.0,10.0,16.93103448275862,1996.7921586206896,359.7444827586207,290.9310344827586,359.5644827586207,362.53379310344826,0.0424137931034489,0.02,0.006138833339464078
1996-11-30,1996.0,11.0,15.793103448275861,1996.873751724138,361.0527586206897,320.7931034482759,360.34000000000003,362.62482758620695,0.06172413793103323,1.31,0.36366808242249693
1996-12-31,1996.0,12.0,16.724137931034484,1996.9582620689657,362.42068965517245,351.7241379310345,361.82448275862066,362.74896551724134,0.044137931034483775,1.37,0.37887289373126354
1997-01-31,1997.0,1.0,16.0,1997.0411000000001,363.23838709677415,16.0,362.87387096774194,362.8503225806452,0.007096774193547433,0.82,0.22562107102099827
1997-02-28,1997.0,2.0,14.5,1997.1219142857142,364.2060714285714,45.5,363.6664285714286,362.92749999999995,0.05214285714285844,0.97,0.2664047540601677
1997-03-31,1997.0,3.0,16.0,1997.2027387096773,364.64580645161294,75.0,364.35967741935485,362.9741935483871,0.04129032258064428,0.44,0.12073797158753674
1997-04-30,1997.0,4.0,16.38095238095238,1997.2887142857144,366.5152380952381,106.38095238095238,365.66333333333336,363.0390476190476,0.0614285714285724,1.87,0.5126705451014679
1997-05-31,1997.0,5.0,15.275862068965518,1997.367875862069,366.7741379310345,135.27586206896552,366.7231034482758,363.1493103448276,-0.02241379310344945,0.26,0.07063821879327303
1997-06-30,1997.0,6.0,16.814814814814813,1997.4570333333334,365.6703703703704,167.8148148148148,366.2811111111111,363.2118518518518,-0.04481481481481406,-1.1,-0.300939310195214
1997-07-31,1997.0,7.0,15.458333333333334,1997.5355,364.49708333333336,196.45833333333334,365.15541666666667,363.25541666666663,-0.07666666666666562,-1.17,-0.32085920328974726
1997-08-31,1997.0,8.0,15.68,1997.6210440000002,362.42440000000005,227.68,363.44120000000004,363.332,-0.08920000000000072,-2.07,-0.5686419530105957
1997-09-30,1997.0,9.0,14.961538461538462,1997.704,360.46000000000004,257.96153846153845,361.31807692307694,363.3961538461538,-0.08423076923076914,-1.96,-0.5420164867486865
1997-10-31,1997.0,10.0,16.555555555555557,1997.7905592592592,360.99074074074076,289.55555555555554,360.51,363.4677777777778,0.1055555555555564,0.53,0.14723984373876675
1997-11-30,1997.0,11.0,15.5,1997.8726066666668,362.64833333333337,319.5,361.79866666666663,363.60266666666666,0.0613333333333325,1.66,0.45917870059251076
1997-12-31,1997.0,12.0,16.066666666666666,1997.9563433333335,364.51666666666665,350.06666666666666,363.6876666666667,363.767,0.06566666666666758,1.87,0.515191484863653
1998-01-31,1998.0,1.0,15.9,1998.0408266666666,365.38366666666667,15.9,365.07800000000003,363.9696666666667,-0.022000000000000835,0.87,0.23784920671208187
1998-02-28,1998.0,2.0,14.5,1998.1219142857142,366.1046428571429,45.5,365.6632142857143,364.1471428571429,0.05357142857142857,0.72,0.19732031183921084
1998-03-31,1998.0,3.0,16.0,1998.2027387096773,367.3635483870968,75.0,366.72387096774196,364.36129032258066,0.08322580645161239,1.26,0.34386494531430944
1998-04-30,1998.0,4.0,15.448275862068966,1998.2861620689655,368.78793103448277,105.44827586206897,368.1586206896552,364.6124137931034,0.015517241379309953,1.42,0.3877310782846255
